"Nazwa cała","R","Ilość dostępna","Stan","j.m.","Cena zakupu netto","Cena sprzedaży netto","Zarezerwowano","Indeks katalogowy","Indeks handlowy","Kod kreskowy","PLU","Cena zakupu brutto","Nazwa krótka","Nazwa oryg.","Cena sprzedaży brutto","Stan min.","Stan max.","Waga","Wysokość","Szerokość","Głębokość","Lokalizacja","Dostawcy dostarczą","Odbiorcy odbiorą","Zamiennik","Vat zak.","Vat sprz.","PKWiU","Marża [%]","F","Producent","Nr artykułu","S","Zał.","Wyróżnik","A","Indeks producenta","Kod CN","Kraj pochodzenia","JPK Klasyfikacja"
"Listwa zasilająca Lanberg do RACK 1U 16A PDU 4x IEC 4x","Towar","0","0","szt.","49.71","49.71","0","Spr000018","Spr000018"," ","0","61.14","Listwa zasilająca Lanberg do RACK 1U 16A","Listwa zasilająca Lanberg do RACK 1U 16A PDU 4x","61.14","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","66","0","0"," ","0"," "," "," "," "
"Listwa zasilająca Lanberg do RACK 1U 16A PDU 6x PL","Towar","0","0","szt.","55.89","55.89","0","Spr000017","Spr000017"," ","0","68.74","Listwa zasilająca Lanberg do RACK 1U 16A","Listwa zasilająca Lanberg do RACK 1U 16A PDU 6x PL","68.74","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","65","0","0"," ","0"," "," "," "," "
"Microsoft® SQL CAL Runtime 2022 All LanguagesEmbedded","Towar","0","0","szt.","614.38","645.82","0","WAPRO007","WAPRO007"," ","0","755.69","Microsoft® SQL CAL Runtime 2022 All","Microsoft® SQL CAL Runtime 2022 All LanguagesEmbedded","794.36","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","4.87","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","102","0","0"," ","0"," "," ","PL"," "
"Microsoft® SQL Server Standard Runtime 2022 All Languages Embedded 1 Client","Towar","0","0","szt.","639.36","645.82","0","WAPRO006","WAPRO006"," ","0","786.41","Microsoft® SQL Server Standard Runtime","Microsoft® SQL Server Standard Runtime 2022","794.36","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","1.00","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","101","0","0"," ","0"," "," ","PL"," "
"Moduł keystone Jack RJ45 kat. 6 UTP","Towar","6","6","szt.","3.73","3.73","0","Spr000020","Spr000020"," ","0","4.59","Moduł keystone Jack RJ45 kat. 6 UTP","Moduł keystone Jack RJ45 kat. 6 UTP","4.59","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","68","0","0"," ","0"," "," "," "," "
"Monitor Philips 27"" 271V8LA/00 VGA HDMI głośniki","Towar","0","0","szt.","462.94","14.37","0","Spr000040","Spr000040"," ","0","569.42","Monitor Philips 27"" 271V8LA/00 VGA HDMI","Monitor Philips 27"" 271V8LA/00 VGA HDMI głośniki","17.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-3121.57","0"," ","108","0","0"," ","0"," "," "," "," "
"Mysz bezprzewodowa Perixx PERIMICE-718 R","Towar","0","0","szt.","81.66","81.66","0","Spr000012","Spr000012"," ","0","100.44","Mysz bezprzewodowa Perixx PERIMICE-718 R","Mysz bezprzewodowa Perixx PERIMICE-718 R","100.44","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","53","0","0"," ","0"," "," "," "," "
"Obsługa informatyczna","Usługa","0","0","szt.","0.00","0.00","0","KAT00024","HAN00024"," ","0","0.00","Obsługa informatyczna","Obsługa informatyczna","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","24","0","0"," ","0"," "," "," "," "
"Obudowa 2,5"" HDD/SSD UGO Marapi","Towar","1","1","szt.","23.30","14.37","0","Spr000033","Spr000033"," ","0","28.66","Obudowa 2,5"" HDD/SSD UGO Marapi","Obudowa 2,5"" HDD/SSD UGO Marapi","17.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-62.14","0"," ","95","0","0"," ","0"," "," "," "," "
"Office Home and Business 2021","Towar","0","0","szt.","842.91","143.00","0","OPROGR00005","OPROGR00005"," ","0","1036.78","Office Home and Business 2021","Office Home and Business 2021","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-489.45","0"," ","76","0","0"," ","0"," "," "," "," "
"PAKIET DEALERSKI WAPRO","Towar","1","1","szt.","1496.04","0.00","0","WAPRO004","WAPRO004"," ","0","1840.13","PAKIET DEALERSKI WAPRO","PAKIET DEALERSKI WAPRO","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","97","0","0"," ","0"," "," ","PL"," "
"Pakiet PITów w programie e-pity Płatnika","Usługa","0","0","szt.","0.00","0.00","0","POZK000006","POZK000006"," ","0","0.00","Pakiet PITów w programie e-pity Płatnika","Usługi telekomunikacyjne","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0","e-file","34","0","0"," ","0"," "," "," "," "
"Paliwo","Usługa","0","0","szt.","0.00","0.00","0","POZK000010","POZK000010"," ","0","0.00","Paliwo","Paliwo","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","38","0","0"," ","0"," "," "," "," "
"Pamięc SODIMM DDR5 8GB Kingston Fury Impact","Towar","0","0","szt.","147.23","3699.00","0","Spr000005","Spr000005"," ","0","181.09","Pamięc SODIMM DDR5 8GB Kingston Fury","Dell G15 5525 15,6""FHD/Ryzen 5 6600H/8GB/SSD512GB/RTX3050-4GB/W11","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","96.02","0"," ","40","0","0"," ","0"," "," "," "," "
"Pamięć DDR3 GOODRAM 8GB/1333MHz","Towar","0","0","szt.","71.04","71.04","0","Spr000008","Spr000008"," ","0","87.38","Pamięć DDR3 GOODRAM 8GB/1333MHz","Pamięć DDR3 GOODRAM 8GB/1333MHz","87.38","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","46","0","0"," ","0"," "," "," "," "
"Pamięć DDR4 Silicon Power 16GB (1x16GB) 2666MHz","Towar","0","0","szt.","129.72","129.72","0","Spr000006","Spr000006"," ","0","159.56","Pamięć DDR4 Silicon Power 16GB (1x16GB)","Pamięć DDR4 Silicon Power 16GB (1x16GB) 2666MHz","159.56","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","44","0","0"," ","0"," "," "," "," "
"Pamięć DDR4 Silicon Power 8GB","Towar","0","0","szt.","64.13","129.72","0","Spr000028","Spr000028"," ","0","78.88","Pamięć DDR4 Silicon Power 8GB","Pamięć DDR4 Silicon Power 8GB","159.56","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","50.56","0"," ","81","0","0"," ","0"," "," "," "," "
"Pamięć SODIMM DDR4 Silicon Power 16GB (1x16GB)","Towar","0","0","szt.","140.85","140.85","0","Spr000007","Spr000007"," ","0","173.25","Pamięć SODIMM DDR4 Silicon Power 16GB","Pamięć SODIMM DDR4 Silicon Power 16GB (1x16GB)","173.25","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","45","0","0"," ","0"," "," "," "," "
"Pendrive GOODRAM 64GB UME2-SPRING","Towar","1","1","szt.","1.00","1.00","0","Spr000031","Spr000031"," ","0","1.23","Pendrive GOODRAM 64GB UME2-SPRING","Pendrive GOODRAM 64GB UME2-SPRING","1.23","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","84","0","0"," ","0"," "," "," "," "
"Pendrive GOODRAM UCU2 16GB USB 2.0","Towar","0","0","szt.","1.00","1.00","0","Spr000015","Spr000015"," ","0","1.23","Pendrive GOODRAM UCU2 16GB USB 2.0","Pendrive GOODRAM UCU2 16GB USB 2.0","1.23","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","56","0","0"," ","0"," "," "," "," "
"Pendrive Silicon Power Blaze B07 64GB USB 3.2","Towar","0","0","szt.","14.37","14.37","0","Spr000013","Spr000013"," ","0","17.68","Pendrive Silicon Power Blaze B07 64GB","Pendrive Silicon Power Blaze B07 64GB USB 3.2","17.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","54","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 1 rok","Towar","0","0","szt.","227.80","259.00","0","CER000007","CER000007"," ","0","280.19","Podpis elektroniczny Certum Mini 1 rok","Certum","318.57","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","12.05","0"," ","11","0","0"," ","0"," "," "," "," "
